OTU;Specimen_no;Barcode;Taxon;kode_cluster;altitude;w_l.s ;w_o_ l.s ;spine_density;spine_shape;ocrea;knee;length;petiole_length;no_of_pairs;uppermost;uppermost;penultimate ;penultimate ;Median;Median;lowermost;lowermost;Prophyll_armature;Peduncle_bracts_shape;rachis_bracts_armature;*nof_cluster;cluster_length;rachilla_no;rachilla_lengtH;bracts_texture;bracts_shape;bracts_texture;bracts_shape;scales_no;shape;L;W ;shape;present_not
1;W.Ave 21;L3933429;javensis;1;800;12;8;2;2;2;2;48;6;6;15;6,5;15,5;6,5;15;5;15,5;7;2;1;2;0;14;7;10,5;1;0;;;;2;;;;1
2;S 54137;L0617893;javensis;1;600;15;10;3;0;2;1;;0;6;12,5;3,5;15,5;4,5;13;3;6;2;;;;;;;;;;;;;;;;;1
3;Ambi & Arifin AA 453;L 0372234;javensis;1;150;6;5;2;2;1;1;;1;6;12,5;3,5;12,5;4,5;12;4;8;2,5;0;0;;;;8;3,5;1;0;;;;;;;;1
4;Rahmat Si Toroes No 331;L 3928337;javensis;1;50;15;10;2;0;0;1;43;2;5;17,5;4,5;18,5;5,5;18,5;5;9,5;2,5;2;2;2;0;13;5;9;0;0;;;9;1;0,8;0,7;0;1
5;W.J. Lutjeharms WJL 4253;K 000934698;8: var polyphyllus;2;180;35;25;3;0;2;1;63;0;10;21,5;5;18,5;5,5;18;4;9;4;;;;;;;;;;;;;;;;;1
6;Rahmat Si Toroes No 4350;L 3928336;javensis;1;1200;8;6;1;1;2;0;40;3;6;17,5;4,5;17,5;5,5;16;4;12;3;2;2;2;2;;2;5;1;0;;;;;;;;1
7;Carel Hamel & Rahmat Si Toroes N0 765;L 3928341;javensis;1;600;6;4;1;1;2;1;23,5;2;6;12;3;12;3,5;10,5;3,5;8;2,5;;;;;;;;;;;;;;;;;1
8;W.Ave  298;L 3933508;javensis;1;1150;6;4;1;3;2;1;28,5;4;4;13;4,5;14,5;4,5;11,5;4,5;9;2,5;2;1;2;1;;8;4,5;;;0;1;;;;;;1
9;T. Smitinand No 637;L 3933495;javensis;1;15;13;5;3;3;1;0;30;0;6;16;5;16;5,5;10;3,5;5;1;2;2;2;4;16;8;6,5;;;3;0;;;;;;1
10;AFG Kerr 11753;L 3933493;javensis;1;100;6;4;1;1;1;2;33,5;2;4;14,5;2,5;10;1,5;13,5;3,5;6;2;2;1;2;;;8;8,0;;;3;1;;;;;;1
11;Kosterman et al. no 136;L 3928349 / sh no 962 65 556;5: var congestiflorus;3;250;5;4;1;1;1;0;18,5;0;5;17;4;14;3,5;11;3,5;7;2,5;0;1;2;0;;4;4,5;1;0;;;;;;;;1
12;Lotzy s.n.;L 3928357;javensis;1;1000;8;5;2;1;1;1;45;0;0;19,5;5;16;6;18;6,5;7;2,5;5;2;;;;;;;;;;;;;;;1
13;JD 5737;L 0617885;javensis;1;20;10;7;3;0;1;1;43;2;5;14,5;3;16,5;4,5;15;4;5,5;2;;;;;;;;;;;;;;;;;1
14;Vermeulen No 869;L 0617900;javensis;1;700;15;8;3;3;1;2;34;2;8;11;3,5;12,5;4,5;13;5,5;5;2;2;2;0;5;16;2;9,5;;;3;0;;;;;;1
15;RJ Johns 6509;L 0617890;8: var polyphyllus;2;70;5;3;1;2;1;2;30;2;8;6,5;2,5;8,5;2;12;2;9;2,6;;;;;;;;;;;;;;;;;1
16;JD 5301;L 0617904;13: Calamus sp 1;4;1200;15;8;4;3;0;0;63;7;11;13;2;11;2;13;3,5;0;2;0;2;2;0;;6;3;0;1;;;;;;;;0
17;Moore & Meijer 9208;L 0617874;8: var polyphyllus;2;300;7;5;1;1;2;1;38,5;1;11;12;2,5;12;2,5;16,5;2,5;11,5;2;2;2;2;2;7;4;4,5;1;0;;;7;1;;;0;1
18;Furtado SFN 33068;L 3928282 / sh no 960 87 010;8: var polyphyllus;2;150;10;5;2;0;1;1;67;0;10;17,5;2,5;19,5;4;18;4,5;7,5;2,5;;2;2;;;4;8,0;2;0;;;;;;;0;1
19;Furtado SFN 33053;;javensis;1;150;;;;;;;;;;;;14,5;4,5;14,5;4;8;2;2;1;2;;;;;1,2;;;;;;;;;1
20;Amin & Jarius SAN 116575;L 0617894;8: var polyphyllus;2;1100;8;6;1;1;1;1;35;0;9;12;2;12;2,5;17;2,5;120,5;2,5;2;2,4;0;0;16;22;3,5;;;1;1;;;;;;1
21;C. Niyomdham 1254;L 3933498;javensis;1;600;4;2;1;4;1;0;29;2;6;17;2;18,5;1;20;2;17;1;;;;;;;;;;;;;;;;;1
22;Vermeulen&Duistermaat No 679;L 0617903;8: var polyphyllus;2;1550;8;3;1;4;1;1;40;0;10;8;0,8;9,5;1;13;1;8;1;0;2;0;1;12;6;4,0;;;1;1;;;;;;1
23;JD 5992;L 0617905;8: var polyphyllus;2;120;5;3;1;1;1;0;21;0;9;8,5;1;9,5;1;9;0,7;7;0,8;;;;;;;;;;;;;;;;;1
24;Dyg. Awa & Bernard Lee S 50593;L 0617892;javensis;1;2000;6;2;1;2;2;1;36;1;5;10;1;10,5;1;12,5;2;13;1,5;0;2;0;1;;3;2,0;1;1;;;1;0;;;;1
25;Ag. Nordin Abas No 85869;L 0617865;8: var polyphyllus;2;900;7;4;0;;2;0;36;1;11;16;1,5;15;1,5;16,5;1,5;12;1,5;2;4;0;1;16;3;3,5;1;1;;;9;1;;;0;1
26;Gen Murata, Kunio Iwatsaki, Masahiro Kato, JP Mogea B 2612;L 0617862;javensis;1;500;6;4;1;1;1;1;26;0;4;15;2,5;14,5;2,5;11,5;2,5;7,5;2;0;2;0;1;;6;5,0;;;1;0;;;;;;1
27;T Smitinand No 841;L 3933496;javensis;1;50;6;3;2;2;1;1;34;0;6;15;2,5;17,5;3,5;18;4,5;8;2;;1;2;4;9;7;5,0;;;1;0;;;;;;1
28;John Dransfield JD 4519;L 3928253;javensis;1;500;10;6;3;3;1;0;55;0;12;15;4;18;4,5;18,5;4,5;6,5;1;2;2;2;6;13;12;7,0;;;1;0;;;;;;1
29;W. Ave No 114;L 3928105;javensis;1;800;10;5;3;0;0;1;65;0;9;21;3,5;23;3,5;24;4;11,5;2,5;2;;0;8;6;7;6,5;;;1;0;;;;;;1
30;W. Ave No 218;L 3933429;javensis;1;800;10;6;4;0;0;1;48;0;6;17,5;4,5;18;4;18;4,5;11;3,5;;;;;;;;;;;;;2;;;;1
31;JD 5783;L 3933441;javensis;1;226;8;5;2;3;1;1;44;0;8;13;3,5;14;3,5;17;4,5;7,5;2,5;2;2;0;0;22;6;10,0;1;0;;;;;;;;1
32;JD 4375;L 0617877;javensis;1;43;6;4;1;1;2;0;64;7;6;18;3;16;3;16;4;11;2,5;;;;;;;;;;;;;;;;;1
33;JD 5672;L 0617870;javensis;1;1500;9;6;2;1;1;1;30;4;4;25;3,5;20,5;3;27;3,5;15;2;;;;;;;;;;;;;;;;;1
34;Chew & Corner RSNB 4835;L 0617867;12: var nova;5;2000;8;4;4;3;3;0;59;5;4;25;3,5;26;3,5;24;4;20;3;0;1;2;0;7;5;4,0;1;0;;;;;;;;1
35;JD 3355;L 3933512;javensis;1;;7;5;1;2;1;0;30;0;6;15;2,5;14;3,5;15;3;6,5;2,5;;;;;;;;;;;;;;;;;1
36;JP Mogea, Gen Murata, Masahiro Kato B 1692;L 0617878;javensis;1;100;20;10;4;1;1;2;46;0;6;21;4,5;18;4,5;19;4,5;8;2,5;;;;;;;;;;;;;;;;;1
37;Nordin Abas SAN 85981;L 0617880;javensis;1;1000;9;6;0;1;1;1;36;1;7;11,5;2;13;3;15,5;2,5;6;1,5;2;1;0;1;8,5;7;;;;1;0;;;;;;1
38;JD 5699;L 0617868;javensis;1;1500;7;5;1;1;2;2;52;4;5;16,5;3,5;16,5;4,5;16;3;13,5;2,5;;;;;;;;;;;;;;;;;1
39;GHS Wood San A 3990;L 0617873;javensis;1;60;8;4;1;3;1;0;36;0;4;17,5;3;19;3,5;19,5;3,5;10;1,5;2;2;2;1;5,5;6;6,0;;;3;0;;;;;;1
40;Heyne A bis;L 3928103;javensis;1;100;5;2;2;1;2;1;35;0;6;18;3;19;3;19,5;3;10;1,5;;;;;;;;;;;;;;;;;1
